State,Population,Expenditure (RM Million),Expenditure_Per_Capita
Selangor,7014700,12308,1754.6
Kuala Lumpur,1964000,10162,5174.13
Johor,4020000,5764,1433.83
Pulau Pinang,1740000,4995,2870.69
Sabah,3412600,4698,1376.66
Perak,2465600,4356,1766.71
Sarawak,2515800,4285,1703.24
Kedah,2151700,2989,1389.13
Pahang,1601500,2791,1742.74
Kelantan,1812300,2605,1437.4
Negeri Sembilan,1204200,2339,1942.37
Melaka,1004500,2106,2096.57
Terengganu,1170700,1815,1550.35
Putrajaya,115200,698,6059.03
Perlis,287600,601,2089.71
Labuan,96000,176,1833.33
